id;title;date;generico_cosmico;generico_terrestre;inventato;no_ambientazione;nominato_cosmico;nominato_terrestre;pct_nebbia_normalizzata;pct_cancellazione_normalizzata;pct_nebbia;pct_cancellazione;norma_pct_caratteri_nebbia_cancellazione;nebbia_words_ratio;cancellazione_words_ratio;dubitative_ratio;n_lists_f;n_lists_m;n_lists_p;n_lists_s;text_length;n_generico_cosmico;n_generico_terrestre;n_inventato;n_no_ambientazione;n_nominato_cosmico;n_nominato_terrestre
S078;Lo jus primae noctis;11/09/1954;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;7027;0;7;0;0;0;0
S079;L'adultera;25/09/1954;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
S080;La lente d'ingrandimento;09/10/1954;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;4042;0;1;0;0;0;0
S081;I Marziani;23/10/1954;0.2;0.2;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;45;94;4019;1;1;0;0;3;0
S082;La domenica delle follie;11/12/1954;0;1;0;0;0;0;0;0;0;0;0;0;0;0;242;0;0;0;6485;0;1;0;0;0;0
S083;Il coniglio velenoso;25/12/1954;0;1;0;0;0;0;0.43;0;100;0;0.36;0.35;0;0.14;278;0;40;144;16872;0;9;0;0;0;0
S084;L'avventura di un fotografo;30/04/1955;0;1;0;0;0;0;0;0;0;0;0;0;0;0;635;0;49;759;26301;0;5;0;0;0;0
S085;Un viaggio con le mucche;01/01/1956;0;1;0;0;0;0;0.13;0;100;0;0.11;0.06;0;0.02;0;0;0;639;8752;0;7;0;0;0;0
S086;Luna e Gnac;04/05/1957;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1022;0;0;372;10513;0;3;0;0;0;0
S087;La gran bonaccia delle Antille;25/07/1957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S088;La speculazione edilizia;01/09/1957;0;0.067;0;0;0;0.933;0;0;0;0;0;0;0;0;2627;287;795;4299;168428;0;1;0;0;0;14
S089;Dialogo sul satellite;06/03/1958;0;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0;192;0;203;8266;0;2;0;0;0;2
S090;Monologo notturno d'un nobile scozzese;25/05/1958;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
