id	Fonte	Titolo Fonte	year	Occorrenza	Parte di	Parte di ID	nominato/Generico	Scala	Luogo desunto	I	C	F	Localizzabile	Terrestre	Inventato	Categoria	Start	End	Nota
L00090	V001	Il sentiero dei nidi di ragno	1947	comando	città	L00092	generico						no	sì	-	generico_terrestre	40330	40337
L00091	V001	Il sentiero dei nidi di ragno	1947	prigione	città	L00092	generico						no	sì	-	generico_terrestre	47312	47320
L00092	V001	Il sentiero dei nidi di ragno	1947	città			generico						no	sì	-	generico_terrestre	56235	56240
L00093	V001	Il sentiero dei nidi di ragno	1947	campo	vallata	L00089	generico						no	sì	-	generico_terrestre	72239	72244
L00094	V001	Il sentiero dei nidi di ragno	1947	beudo	vallata	L00089	generico						no	sì	-	generico_terrestre	83340	83345
L00095	V001	Il sentiero dei nidi di ragno	1947	casolare	vallata	L00089	generico						no	sì	-	generico_terrestre	91469	91477
L00096	V001	Il sentiero dei nidi di ragno	1947	accampamento	vallata	L00089	generico						no	sì	-	generico_terrestre	107820	107832
L00097	V001	Il sentiero dei nidi di ragno	1947	fienile	vallata	L00089	generico						no	sì	-	generico_terrestre	143201	143208
L00098	V001	Il sentiero dei nidi di ragno	1947	montagna			generico						no	sì	-	generico_terrestre	161806	161814
L00099	V001	Il sentiero dei nidi di ragno	1947	sentieri	montagna	L00098	generico						no	sì	-	generico_terrestre	181147	181155
L00100	V001	Il sentiero dei nidi di ragno	1947	cucina	vallata	L00089	generico						no	sì	-	generico_terrestre	197165	197171
L00101	V001	Il sentiero dei nidi di ragno	1947	prati	vallata	L00089	generico						no	sì	-	generico_terrestre	206884	206889
L00102	V001	Il sentiero dei nidi di ragno	1947	passo della Mezzaluna	vallata	L00089	nominato	landmark					sì	sì	no	nominato_terrestre	209845	209866
L00103	V001	Il sentiero dei nidi di ragno	1947	costruzione	vallata	L00089	generico						no	sì	-	generico_terrestre	222565	222576
L00104	V001	Il sentiero dei nidi di ragno	1947	casa	vallata	L00089	generico						no	sì	-	generico_terrestre	236973	236977
L00105	V001	Il sentiero dei nidi di ragno	1947	torrente	vallata	L00089	generico						no	sì	-	generico_terrestre	238511	238519
L00106	V001	Il sentiero dei nidi di ragno	1947	carrugio	città	L00092	generico						no	sì	-	generico_terrestre	240253	240261
L00107	V001	Il sentiero dei nidi di ragno	1947	campagna	vallata	L00089	generico						no	sì	-	generico_terrestre	249089	249097
