id,title,length,year,come-dubbio-boolean,come-negazione-boolean,come-riformulazione-boolean,cosa-dubbio-boolean,cosa-negazione-boolean,cosa-riformulazione-boolean,senso-dubbio-boolean,senso-negazione-boolean,senso-riformulazione-boolean,come-dubbio,come-negazione,come-riformulazione,cosa-dubbio,cosa-negazione,cosa-riformulazione,senso-dubbio,senso-negazione,senso-riformulazione,V1,V2
S094,L'avventura di un lettore,29812,1958,0,0,0,1,1,1,0,0,1,0,0,0,0.32,0.08,0.56,0,0,0.04,-0.02799,-0.0145213
S095,La nuvola di smog,101390,1958,1,1,1,1,1,1,1,1,1,0.03921568627,0.01960784314,0.03921568627,0.2941176471,0.2745098039,0.2156862745,0.03921568627,0.01960784314,0.05882352941,0.53045373,0.03348765
S097,L'avventura di un viaggiatore,30293,1958,0,0,1,1,1,1,0,1,1,0,0,0.02941176471,0.2647058824,0.3529411765,0.2647058824,0,0.02941176471,0.05882352941,0.19238414,-0.120816
S098,La villeggiatura in panchina,14003,1958,0,0,0,1,1,1,0,0,0,0,0,0,0.7142857143,0.1428571429,0.1428571429,0,0,0,-0.1436574,0.01316894
S099,Va' così che vai bene,27454,1958,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3579855,-0.0668223
S101,L'avventura di un miope,18975,1958,0,0,1,1,1,1,0,0,1,0,0,0.03125,0.53125,0.21875,0.15625,0,0,0.0625,0.08535695,-0.0734459
S102,L'avventura di una moglie,14457,1958,0,1,1,1,1,1,1,0,0,0,0.04545454545,0.04545454545,0.4545454545,0.2727272727,0.1363636364,0.04545454545,0,0,0.13522478,0.1671115
S103,L'avventura di due sposi,7814,1958,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,-0.2403841,-0.0204665
S104,L'avventura di un poeta,11830,1958,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,-0.2403841,-0.0204665
S105,L'avventura di uno sciatore,13850,1959,0,0,0,1,0,1,1,0,0,0,0,0,0.4545454545,0,0.3636363636,0.1818181818,0,0,-0.1675895,0.24728671
S106,La strada di San Giovanni,39265,1962,1,1,1,1,1,1,1,0,1,0.01818181818,0.01818181818,0.09090909091,0.2363636364,0.2181818182,0.1090909091,0.1090909091,0,0.2,0.38235789,0.05996841
S107,Diario in clinica,10815,1963,0,0,0,1,1,1,0,0,1,0,0,0,0.5,0.2142857143,0.2142857143,0,0,0.07142857143,-0.02799,-0.0145213
S108,Marcovaldo al supermarket,10606,1963,0,0,1,1,1,1,0,0,1,0,0,0.1176470588,0.5882352941,0.05882352941,0.1764705882,0,0,0.05882352941,0.08535695,-0.0734459
S109,La pioggia e le foglie,12518,1963,0,0,0,1,1,1,0,0,1,0,0,0,0.4444444444,0.1111111111,0.3333333333,0,0,0.1111111111,-0.02799,-0.0145213
S110,La fermata sbagliata,13030,1963,0,0,1,1,1,1,0,0,1,0,0,0.06896551724,0.6206896552,0.1034482759,0.1379310345,0,0,0.06896551724,0.08535695,-0.0734459
S111,"Fumo, vento e bolle di sapone",12414,1963,0,0,0,0,1,1,0,0,0,0,0,0,0,0.3333333333,0.6666666667,0,0,0,-0.2376775,0.01078677
S112,"Un sabato di sole, sabbia e sonno",7838,1963,0,0,1,1,1,1,0,0,0,0,0,0.1666666667,0.3333333333,0.3333333333,0.1666666667,0,0,0,-0.0261474,-0.047271
S113,La città tutta per lui,6089,1963,0,0,0,1,1,1,0,0,1,0,0,0,0.25,0.3125,0.3125,0,0,0.125,-0.02799,-0.0145213
S114,Il giardino dei gatti ostinati,20899,1963,0,0,1,1,0,1,1,0,0,0,0,0.1,0.4,0,0.3,0.2,0,0,-0.0347422,0.16516237
S115,I figli di Babbo Natale,15228,1963,0,0,0,1,1,1,0,0,0,0,0,0,0.4,0.2,0.4,0,0,0,-0.1436574,0.01316894
S116,Dov'è più azzurro il fiume,5787,1963,1,0,0,1,1,1,0,0,0,0.4,0,0,0.2,0.2,0.2,0,0,0,-0.056423,-0.075382
S117,La città smarrita nella neve,8741,1963,0,0,0,1,1,1,0,0,1,0,0,0,0.4545454545,0.1818181818,0.1818181818,0,0,0.1818181818,-0.02799,-0.0145213
S118,La distanza della Luna,29733,1964,1,1,1,1,1,1,1,1,1,0.05405405405,0.02702702703,0.2702702703,0.1891891892,0.05405405405,0.1891891892,0.1351351351,0.02702702703,0.05405405405,0.53045373,0.03348765
S119,Sul far del giorno,19463,1964,0,0,1,1,1,1,0,1,1,0,0,0.4193548387,0.09677419355,0.09677419355,0.2258064516,0,0.03225806452,0.1290322581,0.19238414,-0.120816
S120,Un segno nello spazio,19237,1964,0,0,1,1,1,1,1,1,1,0,0,0.05555555556,0.1944444444,0.08333333333,0.1666666667,0.05555555556,0.02777777778,0.4166666667,0.27502246,0.12359309
S121,Tutto in un punto,9490,1964,0,0,1,0,1,1,0,0,1,0,0,0.1,0,0.1,0.5,0,0,0.3,0.0368804,-0.0887764
S122,Senza colori,18946,1965,0,0,1,1,1,1,0,0,1,0,0,0.08333333333,0.5,0.1666666667,0.1666666667,0,0,0.08333333333,0.08535695,-0.0734459
S123,Fino a che dura il Sole,14692,1965,0,0,0,0,1,1,0,0,0,0,0,0,0,0.25,0.75,0,0,0,-0.2376775,0.01078677
S124,Lo zio acquatico,21396,1965,0,0,1,1,1,1,1,0,1,0,0,0.1578947368,0.1052631579,0.2631578947,0.05263157895,0.2631578947,0,0.1578947368,0.15777942,0.14201062
S125,La Luna come un fungo,16925,1965,0,1,1,0,1,1,0,1,0,0,0.07692307692,0.1538461538,0,0.5384615385,0.1538461538,0,0.07692307692,0,0.11461173,-0.1882565
S126,Giochi senza fine,11691,1965,1,0,0,0,1,1,0,0,1,0.3333333333,0,0,0,0.3333333333,0.1111111111,0,0,0.2222222222,0.00561951,-0.125885
S127,I meteoriti,17758,1965,0,0,0,1,1,1,1,1,1,0,0,0,0.5294117647,0.05882352941,0.1764705882,0.05882352941,0.1176470588,0.05882352941,0.14649305,0.19204172
S128,La forma dello spazio,15776,1965,0,0,1,1,1,1,1,1,1,0,0,0.2127659574,0.2340425532,0.06382978723,0.08510638298,0.1276595745,0.04255319149,0.2340425532,0.27502246,0.12359309
S129,Quanto scommettiamo,16962,1965,0,0,1,1,1,1,1,0,1,0,0,0.1111111111,0.2222222222,0.1111111111,0.1111111111,0.1111111111,0,0.3333333333,0.15777942,0.14201062
S130,I Dinosauri,32538,1965,0,0,0,1,1,1,1,0,1,0,0,0,0.4444444444,0.2222222222,0.07407407407,0.1111111111,0,0.1481481481,0.03961892,0.21119445
S131,Gli anni-luce,26660,1965,0,0,1,1,1,1,1,1,1,0,0,0.275862069,0.2413793103,0.1034482759,0.1034482759,0.06896551724,0.03448275862,0.1724137931,0.27502246,0.12359309
S132,La spirale,27755,1965,0,1,1,1,1,1,0,1,1,0,0.03076923077,0.1538461538,0.3230769231,0.1230769231,0.01538461538,0,0.01538461538,0.3384615385,0.30024029,-0.1780007
S133,Ti con zero,27727,1966,1,0,1,1,1,0,1,1,1,0.01219512195,0,0.09756097561,0.5731707317,0.0487804878,0,0.08536585366,0.01219512195,0.1707317073,0.3224992,0.01841609
S134,I. Mitosi,27482,1967,1,1,1,1,1,1,0,1,1,0.1844660194,0.1067961165,0.09708737864,0.1747572816,0.09708737864,0.03883495146,0,0.04854368932,0.2524271845,0.42755335,-0.2786078
S135,L'inseguimento,26513,1967,1,0,1,1,1,1,0,0,1,0.05555555556,0,0.08333333333,0.25,0.1666666667,0.1111111111,0,0,0.3333333333,0.18921293,-0.1544514
S136,I cristalli,15771,1967,0,0,1,0,1,0,0,1,1,0,0,0.2222222222,0,0.3333333333,0,0,0.1111111111,0.3333333333,0.05067085,-0.2056792
S137,L'origine degli uccelli,21376,1967,0,1,1,1,1,1,1,0,1,0,0.0303030303,0.09090909091,0.2727272727,0.2424242424,0.06060606061,0.1818181818,0,0.1212121212,0.25900508,0.12666865
S138,La memoria del mondo,13732,1967,1,0,1,1,1,1,0,1,1,0.125,0,0.1875,0.1875,0.25,0.0625,0,0.0625,0.125,0.30949761,-0.2093365
S139,"Il sangue, il mare",21043,1967,1,1,1,1,0,1,1,0,1,0.1304347826,0.02173913043,0.2608695652,0.1739130435,0,0.0652173913,0.02173913043,0,0.3260869565,0.30619597,0.02205807
S140,Il guidatore notturno,14578,1967,1,1,1,1,1,0,0,0,1,0.125,0.03125,0.0625,0.5,0.09375,0,0,0,0.1875,0.20397696,-0.281575
S141,La molle Luna,16603,1967,1,1,1,1,0,1,1,0,1,0.2,0.04,0.32,0.16,0,0.16,0.04,0,0.08,0.30619597,0.02205807
S142,II. Meiosi,18954,1967,1,1,1,1,1,1,0,1,1,0.09803921569,0.03921568627,0.1568627451,0.3333333333,0.07843137255,0.05882352941,0,0.01960784314,0.2156862745,0.42755335,-0.2786078
S143,III. Morte,9299,1967,1,0,1,0,1,0,0,0,1,0.4615384615,0,0.07692307692,0,0.07692307692,0,0,0,0.3846153846,0.04680034,-0.2477461
S144,Il conte di Montecristo,22375,1967,1,0,1,1,1,1,1,0,1,0.1111111111,0,0.06666666667,0.5333333333,0.04444444444,0.04444444444,0.04444444444,0,0.1555555556,0.27093265,0.08739688
S145,Le figlie della Luna,23452,1968,1,1,1,1,1,1,0,0,1,0.125,0.0625,0.125,0.4375,0.0625,0.0625,0,0,0.125,0.28967336,-0.2231745
S146,Il cielo di pietra,13895,1968,1,1,1,1,0,1,0,1,1,0.1304347826,0.04347826087,0.1739130435,0.347826087,0,0.1304347826,0,0.04347826087,0.1304347826,0.34725098,-0.3554394
S147,Tempesta solare,18603,1968,0,0,1,1,1,1,0,1,0,0,0,0.1428571429,0.5714285714,0.1428571429,0.07142857143,0,0.07142857143,0,0.07306751,-0.0909293
