ID opera,length,title,title_short,year,tipo,percentuale_dubbio,prop_occ_come-dubbio,prop_occ_come-negazione,prop_occ_come-riformulazione,prop_occ_cosa-dubbio,prop_occ_cosa-negazione,prop_occ_cosa-riformulazione,prop_occ_senso-dubbio,prop_occ_senso-negazione,prop_occ_senso-riformulazione,cont_occ_come-dubbio,cont_occ_come-negazione,cont_occ_come-riformulazione,cont_occ_cosa-dubbio,cont_occ_cosa-negazione,cont_occ_cosa-riformulazione,cont_occ_senso-dubbio,cont_occ_senso-negazione,cont_occ_senso-riformulazione,prop_car_come-dubbio,prop_car_come-negazione,prop_car_come-riformulazione,prop_car_cosa-dubbio,prop_car_cosa-negazione,prop_car_cosa-riformulazione,prop_car_senso-dubbio,prop_car_senso-negazione,prop_car_senso-riformulazione,cont_car_come-dubbio,cont_car_come-negazione,cont_car_come-riformulazione,cont_car_cosa-dubbio,cont_car_cosa-negazione,cont_car_cosa-riformulazione,cont_car_senso-dubbio,cont_car_senso-negazione,cont_car_senso-riformulazione,prop_occ_x,prop_occ_y,cont_occ_x,cont_occ_y,cont_e_prop_occ_x,cont_e_prop_occ_y,prop_car_x,prop_car_y,cont_car_x,cont_car_y,cont_e_prop_car_x,cont_e_prop_car_y,prop_occ_perc_x,prop_occ_perc_y,prop_car_perc_x,prop_car_perc_y,prop_occ_car_perc_x,prop_occ_car_perc_y,def_mds_x,def_mds_y,def_mds_all_x,def_mds_all_y
S027,12910,Si dorme come cani,Si dorme c,1948,,0.3253292022,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,42,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0398191068344966,-0.00364140759477096,-0.0465050987778503,-0.0415172659483531,-0.113979906032912,0.00406945001032948,-0.0325246712774528,0.000179264197947649,-0.0437784033621092,-0.0469686535146486,0.09549052179,-0.05952700374,-0.1184834466,-0.02689634693,-0.1112738575,-0.01611862636,2,-2,0.095371452,-0.05950278668
S028,3554,Com'era grande il mare,Com'era gr,1948,,8.863252673,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,315,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0378601223399342,-0.00336260025579479,-0.0451181988953885,-0.0421962421560663,-0.113979906032912,0.00406945001032948,-0.0308859123619679,5.33973518957847e-05,-0.0425996021557414,-0.0476430018174257,0.06785949413,-0.07183721251,-0.09660091946,-0.04680867034,-0.1026944303,-0.02836625981,-0.1076193384,-0.006926219211,0.0677515091,-0.07182414076
S029,12933,Il gatto e il poliziotto,Il gatto e,1948,,7.129049718,0,0,0,0.7857142857,0.1428571429,0,0.07142857143,0,0,0,0,0,11,2,0,1,0,0,0,0,0,92.52,1.63,0,5.86,0,0,0,0,0,853,15,0,54,0,0,-0.0780060005488602,-0.02783603578827,-0.0295200427461401,-0.006070898861826,-0.0218372154926695,-0.0387389430214004,-0.106231853806266,-0.0029638838931355,-0.0265841756427566,-0.000365653274323913,-0.0323509849918649,-0.0476320833744073,0.04410838346,-0.06162334697,-0.08988096682,-0.04451663577,-0.08526327495,-0.0328403094,-0.09437619798,-0.009181223121,0.04414585093,-0.06163452763
S030,14313,Pranzo con un pastore,Pranzo con,1948,riformulazione,7.15433522,0,0,0,0.25,0.25,0.25,0.1666666667,0,0.08333333333,0,0,0,3,3,3,2,0,1,0,0,0,20.12,19.63,17.97,34.38,0,7.91,0,0,0,206,201,184,352,0,81,0.00708102725748604,0.0265200137800579,-0.0238386254536165,-0.00833042368397358,-0.00308846398132592,-0.00420316615255757,0.0176086520926603,0.00169975007755202,-0.0177209306475494,-0.00274748602112535,0.00331112693414059,0.00516831559454787,-0.0007944884886,0.01820677612,0.0187556809,0.00551891791,0.01282781693,0.01530948518,-0.04014586683,0.02032151295,-0.0005641996201,0.0181939306
S031,5327,Voglia di mare,Voglia di ,1948,,0.9386146048,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,50,0,0,0,0,0.0158858248637972,0.0495382842488722,-0.0385673747068938,-0.00370861793108021,-0.0635541263112321,0.0100732940679786,0.0221194631539799,-0.0165184569556443,-0.0318464322107991,9.81885602485229e-06,-0.0508629744385622,0.00601223743797528,0.04656035844,0.05790713076,-0.006379741012,0.02340457225,0.000414457993,0.03740594239,2,2,0.04668469213,0.05782602052
S033,10473,Chi ha messo la mina nel mare?,Chi ha mes,1948,riformulazione,2.272510264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,238,0,0,0,0.0009712149146844,0.163790421161898,-0.0373293469857473,-0.00348202958356028,-0.0682138340416676,0.0076444756122344,0.0550391676228372,0.149986743679571,-0.0289509547790745,2.75097872149664e-05,-0.0576979308294589,0.0261275440189578,0.09314795474,0.1185832795,-0.02957303651,0.151773541,-0.00639081293,0.1618563374,2,2,0.09327222869,0.1186458964
S035,8005,Freddo a Napoli,Freddo a N,1949,,2.598376015,0,0,0,0.75,0.25,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,21.15,78.85,0,0,0,0,0,0,0,44,164,0,0,0,0,-0.0761436740797842,-0.0264244967886991,-0.0371073250702025,-0.00347752268331636,-0.0310358233516574,-0.0362196713929689,-0.0171022208734576,-0.0233742168717656,-0.0294522968949481,-0.000464411125806133,-0.0297670184957906,-0.0135231529568342,0.05867666721,-0.05329786755,-0.01945931736,-0.01239888947,-0.05467187853,-0.01834757896,-0.1090975291,0.008738577572,0.05873031756,-0.05331549712
S036,9089,Lasciare Anna,Lasciare A,1949,,5.105072065,0.1,0,0,0.5,0.4,0,0,0,0,1,0,0,5,4,0,0,0,0,3.66,0,0,72.63,23.71,0,0,0,0,17,0,0,337,110,0,0,0,0,-0.0471649495478202,-0.0353854465202505,-0.0249309351501691,-0.00226603217382777,-0.0179790010471077,-0.0232890304081328,-0.0902203909549467,-0.0166090150078072,-0.0258852881702041,-0.000814399632765774,-0.0225729069124315,-0.044738243075045,0.02549461936,-0.04570639705,-0.07155008622,-0.04855843874,-0.06423872358,-0.0372703154,-0.08115852066,-0.01425555307,0.02555071387,-0.045732238
S037,16625,"Un pomeriggio, Adamo",Un pomerig,1949,,1.142857143,0,0,0,0.5,0.1666666667,0,0.3333333333,0,0,0,0,0,3,1,0,2,0,0,0,0,0,54.21,16.32,0,29.47,0,0,0,0,0,103,31,0,56,0,0,-0.0545381634263113,-0.0182233438293816,-0.0331074403961671,-0.00875112125202622,-0.0189859569782408,-0.0282829884840842,-0.0693286086939707,-0.0239346371478544,-0.0305624313953586,-0.000205769631459803,-0.0182821451882337,-0.0325689563529802,0.04644596046,-0.03592740253,-0.06137217394,-0.03609041491,-0.05869472461,-0.02432937397,2,-2,0.04651442202,-0.03595235863
S038,7418,La casa degli alveari,La casa de,1949,,4.731733621,0,0,0,0.25,0.625,0,0,0.125,0,0,0,0,2,5,0,0,1,0,0,0,0,6.27,78.06,0,0,15.67,0,0,0,0,22,274,0,0,55,0,0.0362880320464292,-0.0772329973165232,-0.0242094121955426,0.000109486067895699,-0.0269952061626738,0.0202024259530529,0.0269845962800724,-0.0392987335117038,-0.0241067671448663,-0.00309041808611938,-0.0347552104973263,0.0127582086322031,-0.03642363075,-0.01668414982,0.01909390831,-0.002626625568,0.02448261998,-0.03248049736,-0.04347291341,0.03728387643,-0.03626713406,-0.01673774165
S039,12987,La stessa cosa del sangue,La stessa ,1949,riformulazione,1.963501964,0,0,0,0.3,0.1,0.2,0.4,0,0,0,0,0,3,1,2,4,0,0,0,0,0,15.69,12.94,17.25,54.12,0,0,0,0,0,40,33,44,138,0,0,-0.0195167442987425,0.0302653384219623,-0.0263020204191989,-0.0142346037343955,-0.0116359256395646,-0.01430353373911,0.0169051387918646,0.0153878372864375,-0.0287134393367949,-0.000620435817585921,-0.01682223607841,0.00781385795464225,0.03609450927,0.01381702635,-0.0035470426,0.03151584368,-0.008205332065,0.0313339668,2,2,0.03625494497,0.01382545369
S040,15582,Attesa della morte in un albergo,Attesa del,1949,riformulazione,3.183160056,0,0,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,65.93,0,34.07,0,0,0,0,0,0,327,0,169,0,0,0,-0.0853584663114227,0.0331823305430138,-0.0353866928123487,-0.00318831474246597,-0.0337761572131172,-0.0392848806207684,-0.0701924128613623,0.0701390801022734,-0.0281050824114763,-0.000111057383593449,-0.0297399676934862,-0.034249123014681,0.084693346,-0.02158445026,-0.08760290954,0.02540559977,-0.08362135621,0.03551152685,-0.1090850614,0.02793181685,0.08476424644,-0.02152613197
