id	title	year	length	tot_dubbio	cosa_esitazione	cosa_negazione	cosa_riformulazione	come_esitazione	come_negazione	come_riformulazione	senso_esitazione	senso_negazione	senso_riformulazione	perc_dubbio	mds_x	mds_y
S072	Le notti dell'UNPA	1954	39484	629	0.4615384615	0.1538461538	0.2307692308	0.0000000000	0.0769230769	0.0000000000	0.0000000000	0.0000000000	0.0769230769	1.5930503495	0.03850267355	-0.01138228467
S073	La bomba addormentata nel bosco	1954	8394	95	0.3333333333	0.3333333333	0.3333333333	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.1317607815	0.04529102997	0.01209319274
S074	Libertà! Libertà!	1954	4546	75	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.0000000000	1.6498020238	0.01905966786	0.09526296068
S075	I mozzatori di nasi	1954	3962	195	0.0000000000	0.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	4.9217566885	0.0825670767	0.1156107936
S077	Il dittatore	1954	4114	397	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	9.6499756928	0.06533506613	-0.07383248417
S078	Lo jus primae noctis	1954	7027	125	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.0000000000	0.0000000000	0.0000000000	1.7788529956	0.06206366022	0.07674660865
S079	L'adultera	1954	6306	106	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.0000000000	1.6809387885	0.01896590112	0.09523071205
S080	La lente d'ingrandimento	1954	4042	89	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.0000000000	2.2018802573	0.01727004414	0.09452563656
S081	I Marziani	1954	4019	359	0.0000000000	0.2500000000	0.2500000000	0.0000000000	0.0000000000	0.3750000000	0.1250000000	0.0000000000	0.0000000000	8.9325702911	-0.01396331382	0.07617942782
S082	La domenica delle follie	1954	6485	357	0.7500000000	0.2500000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	5.5050115652	0.04932837629	-0.05691469594
S083	Il coniglio velenoso	1954	16872	239	0.6000000000	0.2000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2000000000	1.4165481271	0.02655056725	-0.03535745708
S084	L'avventura di un fotografo	1955	26301	2107	0.0416666667	0.2083333333	0.4166666667	0.0000000000	0.0000000000	0.0416666667	0.0416666667	0.0416666667	0.2083333333	8.0111022395	-0.04618940094	0.07715387709
S086	Luna e Gnac	1957	10513	174	0.3333333333	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.6666666667	1.6550936935	0.01816156235	0.01299692139
S089	Dialogo sul satellite	1958	8266	258	0.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	3.1212194532	0.03947943763	0.05559246564
S090	Monologo notturno d'un nobile scozzese	1958	7421	518	0.4000000000	0.2000000000	0.2000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2000000000	6.9801913489	0.001651378628	-0.004498109536
S091	Una bella giornata di marzo	1958	6351	1242	0.5217391304	0.3478260870	0.0434782609	0.0000000000	0.0000000000	0.0000000000	0.0434782609	0.0000000000	0.0434782609	19.5559754369	-0.006423583035	-0.06372614414
S092	La gallina di reparto	1958	17022	787	0.1250000000	0.1250000000	0.5000000000	0.0000000000	0.0000000000	0.1250000000	0.1250000000	0.0000000000	0.0000000000	4.6234285043	0.01980250321	0.06549496016
S093	La notte dei numeri	1958	21230	208	0.6666666667	0.3333333333	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.9797456430	0.0583819046	-0.0487400423
S094	L'avventura di un lettore	1958	29812	2475	0.3200000000	0.0800000000	0.5600000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0400000000	8.3020260298	0.03683870321	0.02133079529
S095	La nuvola di smog	1958	101390	3948	0.2941176471	0.2745098039	0.2156862745	0.0392156863	0.0196078431	0.0392156863	0.0392156863	0.0196078431	0.0588235294	3.8938751356	-0.01079706288	0.006762321373
S097	L'avventura di un viaggiatore	1958	30293	2259	0.2647058824	0.3529411765	0.2647058824	0.0000000000	0.0000000000	0.0294117647	0.0000000000	0.0294117647	0.0588235294	7.4571683227	-0.01773988729	0.01193743063
S098	La villeggiatura in panchina	1958	14003	230	0.7142857143	0.1428571429	0.1428571429	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.6425051775	0.06185138783	-0.0395438809
S099	Va' così che vai bene	1958	27454	140	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.5099439062	0.09504345885	-0.05930709901
S101	L'avventura di un miope	1958	18975	2518	0.5312500000	0.2187500000	0.1562500000	0.0000000000	0.0000000000	0.0312500000	0.0000000000	0.0000000000	0.0625000000	13.2700922266	0.005385038721	-0.04096402053
S102	L'avventura di una moglie	1958	14457	1382	0.4545454545	0.2727272727	0.1363636364	0.0000000000	0.0454545455	0.0454545455	0.0454545455	0.0000000000	0.0000000000	9.5593829979	0.008971918049	-0.02944545195
S103	L'avventura di due sposi	1958	7814	236	0.5000000000	0.0000000000	0.5000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	3.0202201177	0.08375758086	-0.0003241322279
S104	L'avventura di un poeta	1958	11830	98	0.5000000000	0.0000000000	0.5000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.8284023669	0.08992219404	0.0003806980357
S105	L'avventura di uno sciatore	1959	13850	931	0.4545454545	0.0000000000	0.3636363636	0.0000000000	0.0000000000	0.0000000000	0.1818181818	0.0000000000	0.0000000000	6.7220216606	0.05302663651	-0.004371977842
S106	La strada di San Giovanni	1962	39265	5015	0.2363636364	0.2181818182	0.1090909091	0.0181818182	0.0181818182	0.0909090909	0.1090909091	0.0000000000	0.2000000000	12.7721889724	-0.04901723608	0.008522483703
S107	Diario in clinica	1963	10815	902	0.5000000000	0.2142857143	0.2142857143	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0714285714	8.3402681461	0.02107674323	-0.02491215105
S108	Marcovaldo al supermarket	1963	10606	757	0.5882352941	0.0588235294	0.1764705882	0.0000000000	0.0000000000	0.1176470588	0.0000000000	0.0000000000	0.0588235294	7.1374693570	0.02467558948	-0.0278478279
S109	La pioggia e le foglie	1963	12518	518	0.4444444444	0.1111111111	0.3333333333	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1111111111	4.1380412206	0.03402067147	-0.001330957744
S110	La fermata sbagliata	1963	13030	1209	0.6206896552	0.1034482759	0.1379310345	0.0000000000	0.0000000000	0.0689655172	0.0000000000	0.0000000000	0.0689655172	9.2785878741	0.01722571477	-0.03938229654
S111	Fumo, vento e bolle di sapone	1963	12414	348	0.0000000000	0.3333333333	0.6666666667	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	2.8032866119	0.05816009193	0.09412226824
S112	Un sabato di sole, sabbia e sonno	1963	7838	259	0.3333333333	0.3333333333	0.1666666667	0.0000000000	0.0000000000	0.1666666667	0.0000000000	0.0000000000	0.0000000000	3.3044143914	0.01254674548	0.005851844517
S113	La città tutta per lui	1963	6089	665	0.2500000000	0.3125000000	0.3125000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1250000000	10.9213335523	-0.007897832217	0.01875408718
S114	Il giardino dei gatti ostinati	1963	20899	616	0.4000000000	0.0000000000	0.3000000000	0.0000000000	0.0000000000	0.1000000000	0.2000000000	0.0000000000	0.0000000000	2.9475094502	0.0424816216	0.008724463836
S115	I figli di Babbo Natale	1963	15228	74	0.4000000000	0.2000000000	0.4000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.4859469398	0.05767833637	0.004001400812
S116	Dov'è più azzurro il fiume	1963	5787	215	0.2000000000	0.2000000000	0.2000000000	0.4000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	3.7152237774	0.01011699631	0.01840377783
S117	La città smarrita nella neve	1963	8741	830	0.4545454545	0.1818181818	0.1818181818	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1818181818	9.4954810662	0.0001366624697	-0.0182631893
S118	La distanza della Luna	1964	29733	2689	0.1891891892	0.0540540541	0.1891891892	0.0540540541	0.0270270270	0.2702702703	0.1351351351	0.0270270270	0.0540540541	9.0438233612	-0.04964964209	0.03251336947
S119	Sul far del giorno	1964	19463	1924	0.0967741935	0.0967741935	0.2258064516	0.0000000000	0.0000000000	0.4193548387	0.0000000000	0.0322580645	0.1290322581	9.8854236243	-0.0564026781	0.06210776036
S120	Un segno nello spazio	1964	19237	2626	0.1944444444	0.0833333333	0.1666666667	0.0000000000	0.0000000000	0.0555555556	0.0555555556	0.0277777778	0.4166666667	13.6507771482	-0.06848295692	0.02980553504
S121	Tutto in un punto	1964	9490	561	0.0000000000	0.1000000000	0.5000000000	0.0000000000	0.0000000000	0.1000000000	0.0000000000	0.0000000000	0.3000000000	5.9114857745	-0.0042773862	0.1057503847
S122	Senza colori	1965	18946	660	0.5000000000	0.1666666667	0.1666666667	0.0000000000	0.0000000000	0.0833333333	0.0000000000	0.0000000000	0.0833333333	3.4835849256	0.02077941609	-0.01791741871
S123	Fino a che dura il Sole	1965	14692	249	0.0000000000	0.2500000000	0.7500000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.6947998911	0.06512850101	0.09687449324
S124	Lo zio acquatico	1965	21396	1512	0.1052631579	0.2631578947	0.0526315789	0.0000000000	0.0000000000	0.1578947368	0.2631578947	0.0000000000	0.1578947368	7.0667414470	-0.0404694955	0.04016233865
S125	La Luna come un fungo	1965	16925	1107	0.0000000000	0.5384615385	0.1538461538	0.0000000000	0.0769230769	0.1538461538	0.0000000000	0.0769230769	0.0000000000	6.5406203840	-0.05520871108	0.06540488384
S126	Giochi senza fine	1965	11691	759	0.0000000000	0.3333333333	0.1111111111	0.3333333333	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2222222222	6.4921734668	-0.04095726061	0.06036905481
S127	I meteoriti	1965	17758	1394	0.5294117647	0.0588235294	0.1764705882	0.0000000000	0.0000000000	0.0000000000	0.0588235294	0.1176470588	0.0588235294	7.8499831062	-0.01792683077	-0.05858137491
S128	La forma dello spazio	1965	15776	4032	0.2340425532	0.0638297872	0.0851063830	0.0000000000	0.0000000000	0.2127659574	0.1276595745	0.0425531915	0.2340425532	25.5578093306	-0.1130600989	0.001836249918
S129	Quanto scommettiamo	1965	16962	1157	0.2222222222	0.1111111111	0.1111111111	0.0000000000	0.0000000000	0.1111111111	0.1111111111	0.0000000000	0.3333333333	6.8211295838	-0.03499094472	0.03007784301
S130	I Dinosauri	1965	32538	1671	0.4444444444	0.2222222222	0.0740740741	0.0000000000	0.0000000000	0.0000000000	0.1111111111	0.0000000000	0.1481481481	5.1355338374	0.002697643719	-0.02006371964
S131	Gli anni-luce	1965	26660	2646	0.2333333333	0.1000000000	0.1333333333	0.0000000000	0.0000000000	0.2666666667	0.0666666667	0.0333333333	0.1666666667	9.9249812453	-0.06330420162	0.0198702069
S132	La spirale	1965	27755	4320	0.3230769231	0.1230769231	0.0153846154	0.0000000000	0.0307692308	0.1538461538	0.0000000000	0.0153846154	0.3384615385	15.5647631057	-0.06324867488	-0.0111512133
S133	Ti con zero	1966	27727	7155	0.5731707317	0.0487804878	0.0000000000	0.0121951220	0.0000000000	0.0975609756	0.0853658537	0.0121951220	0.1707317073	25.8051718541	-0.04269081705	-0.07563766289
S134	I. Mitosi	1967	27482	5758	0.1747572816	0.0970873786	0.0388349515	0.1844660194	0.1067961165	0.0970873786	0.0000000000	0.0485436893	0.2524271845	20.9518957863	-0.131019269	0.0009821590192
S135	L'inseguimento	1967	26513	4502	0.2500000000	0.1666666667	0.1111111111	0.0555555556	0.0000000000	0.0833333333	0.0000000000	0.0000000000	0.3333333333	16.9803492626	-0.06046098584	0.005240029822
S136	I cristalli	1967	15771	677	0.0000000000	0.3333333333	0.0000000000	0.0000000000	0.0000000000	0.2222222222	0.0000000000	0.1111111111	0.3333333333	4.2926891129	-0.103033644	0.07961978823
S137	L'origine degli uccelli	1967	21376	3645	0.2727272727	0.2424242424	0.0606060606	0.0000000000	0.0303030303	0.0909090909	0.1818181818	0.0000000000	0.1212121212	17.0518338323	-0.04845957502	-0.01115913602
S138	La memoria del mondo	1967	13732	1503	0.1875000000	0.2500000000	0.0625000000	0.1250000000	0.0000000000	0.1875000000	0.0000000000	0.0625000000	0.1250000000	10.9452374017	-0.1007729753	0.005556955072
S139	Il sangue, il mare	1967	21043	3847	0.1739130435	0.0000000000	0.0652173913	0.1304347826	0.0217391304	0.2608695652	0.0217391304	0.0000000000	0.3260869565	18.2816138383	-0.08164688047	0.03066141758
S140	Il guidatore notturno	1967	14578	1837	0.5000000000	0.0937500000	0.0000000000	0.1250000000	0.0312500000	0.0625000000	0.0000000000	0.0000000000	0.1875000000	12.6011798601	-0.02515985095	-0.04872781479
S141	La molle Luna	1967	16603	1396	0.1600000000	0.0000000000	0.1600000000	0.2000000000	0.0400000000	0.3200000000	0.0400000000	0.0000000000	0.0800000000	8.4081190146	-0.03441980431	0.04376268763
S142	II. Meiosi	1967	18954	3660	0.3333333333	0.0784313725	0.0588235294	0.0980392157	0.0392156863	0.1568627451	0.0000000000	0.0196078431	0.2156862745	19.3099081988	-0.07866524182	-0.02366934872
S143	III. Morte	1967	9299	482	0.0000000000	0.0769230769	0.0000000000	0.4615384615	0.0000000000	0.0769230769	0.0000000000	0.0000000000	0.3846153846	5.1833530487	-0.04602498741	0.07452624579
S144	Il conte di Montecristo	1967	22375	2894	0.5333333333	0.0444444444	0.0444444444	0.1111111111	0.0000000000	0.0666666667	0.0444444444	0.0000000000	0.1555555556	12.9340782123	-0.01971195579	-0.04925429696
S145	Le figlie della Luna	1968	23452	720	0.4375000000	0.0625000000	0.0625000000	0.1250000000	0.0625000000	0.1250000000	0.0000000000	0.0000000000	0.1250000000	3.0701006311	-0.00187101829	-0.01884516888
S146	Il cielo di pietra	1968	13895	1070	0.3333333333	0.0000000000	0.0833333333	0.1250000000	0.0416666667	0.2083333333	0.0000000000	0.0416666667	0.1666666667	7.7006117308	-0.06015025052	-0.004461331398
